iter	Passed	Remaining
0	58	58073
1	58	29124
2	58	19461
3	58	14629
4	58	11735
5	59	9802
6	59	8420
7	59	7383
8	59	6578
9	59	5933
10	60	5409
11	60	4970
12	60	4598
13	60	4279
14	60	4003
15	61	3763
16	61	3550
17	61	3360
18	61	3190
19	62	3038
20	62	2899
21	62	2773
22	62	2659
23	62	2558
24	63	2462
25	63	2372
26	63	2290
27	63	2212
28	63	2140
29	64	2073
30	64	2009
31	64	1950
32	64	1894
33	64	1841
34	65	1792
35	65	1746
36	65	1702
37	65	1661
38	65	1622
39	66	1584
40	66	1548
41	66	1514
42	66	1481
43	66	1450
44	66	1420
45	67	1392
46	67	1365
47	67	1339
48	67	1315
49	67	1291
50	68	1268
51	68	1246
52	68	1225
53	68	1204
54	68	1184
55	69	1165
56	69	1147
57	69	1130
58	69	1112
59	69	1095
60	70	1079
61	70	1064
62	70	1049
63	70	1035
64	71	1021
65	71	1007
66	71	994
67	71	979
68	71	966
69	71	954
70	72	942
71	72	931
72	72	919
73	72	908
74	72	897
75	72	887
76	73	876
77	73	867
78	73	857
79	73	847
80	73	838
81	74	829
82	74	820
83	74	811
84	74	801
85	74	793
86	74	784
87	74	776
88	75	769
89	75	761
90	75	754
91	75	747
92	75	740
93	76	733
94	76	727
95	76	720
96	76	714
97	77	709
98	77	703
99	77	697
100	77	691
101	77	684
102	77	678
103	78	672
104	78	667
105	78	662
106	78	656
107	78	651
108	79	647
109	79	642
110	79	637
111	79	632
112	79	627
113	80	622
114	80	618
115	80	613
116	80	608
117	80	604
118	80	599
119	81	595
120	81	591
121	81	586
122	81	581
123	81	577
124	81	573
125	82	569
126	82	566
127	82	561
128	82	557
129	82	553
130	82	550
131	83	546
132	83	542
133	83	539
134	83	536
135	83	532
136	84	529
137	84	525
138	84	522
139	84	518
140	84	515
141	84	512
142	85	509
143	85	506
144	85	503
145	85	501
146	85	498
147	86	495
148	86	492
149	86	490
150	86	487
151	86	484
152	87	481
153	87	479
154	87	476
155	87	474
156	87	471
157	88	469
158	88	467
159	88	465
160	89	464
161	89	462
162	89	460
163	89	457
164	89	455
165	90	453
166	90	450
167	90	448
168	90	446
169	90	443
170	91	441
171	91	439
172	91	437
173	91	434
174	91	432
175	91	430
176	92	428
177	92	426
178	92	424
179	92	422
180	92	419
181	92	417
182	93	415
183	93	413
184	93	411
185	93	409
186	93	408
187	94	406
188	94	404
189	94	402
190	94	400
191	94	398
192	94	397
193	95	395
194	95	393
195	95	391
196	95	390
197	95	388
198	96	386
199	96	385
200	96	383
201	96	381
202	96	380
203	97	378
204	97	376
205	97	375
206	97	373
207	97	372
208	97	370
209	98	369
210	98	367
211	98	365
212	98	364
213	98	362
214	98	361
215	99	359
216	99	358
217	99	356
218	99	355
219	99	354
220	100	352
221	100	351
222	100	349
223	100	348
224	100	347
225	100	345
226	101	344
227	101	343
228	101	342
229	101	340
230	101	339
231	102	338
232	102	336
233	102	335
234	102	334
235	102	333
236	103	331
