iter	Passed	Remaining
0	57	57711
1	57	28935
2	58	19334
3	58	14532
4	58	11652
5	58	9735
6	58	8364
7	59	7337
8	59	6544
9	59	5903
10	59	5379
11	60	4942
12	60	4571
13	60	4254
14	60	3979
15	60	3738
16	60	3526
17	61	3338
18	61	3169
19	61	3016
20	61	2879
21	61	2754
22	62	2640
23	62	2536
24	62	2439
25	62	2350
26	62	2268
27	63	2191
28	63	2120
29	63	2056
30	63	1997
31	64	1940
32	64	1885
33	64	1832
34	64	1783
35	65	1740
36	65	1698
37	65	1657
38	65	1617
39	65	1580
40	66	1544
41	66	1510
42	66	1478
43	66	1446
44	66	1416
45	66	1388
46	67	1361
47	67	1335
48	67	1309
49	67	1286
50	67	1263
51	68	1240
52	68	1219
53	68	1199
54	68	1179
55	68	1160
56	69	1141
57	69	1124
58	69	1107
59	69	1090
60	69	1074
61	69	1058
62	70	1043
63	70	1028
64	70	1014
65	70	1000
66	70	987
67	71	975
68	71	963
69	71	951
70	71	939
71	72	928
72	72	916
73	72	905
74	72	894
75	72	884
76	73	875
77	73	865
78	73	856
79	73	846
80	73	837
81	73	828
82	74	818
83	74	809
84	74	801
85	74	793
86	74	784
87	74	777
88	75	769
89	75	761
90	75	754
91	75	747
92	75	740
93	76	733
94	76	727
95	76	721
96	76	714
97	76	708
98	77	701
99	77	696
100	77	690
101	77	684
102	77	678
103	78	673
104	78	667
105	78	661
106	78	656
107	78	651
108	79	646
109	79	641
110	79	636
111	79	631
112	79	626
113	80	622
114	80	617
115	80	614
116	80	609
117	80	604
118	81	600
119	81	596
120	81	591
121	81	587
122	81	583
123	82	579
124	82	575
125	82	572
126	82	568
127	82	564
128	83	561
129	83	558
130	83	554
131	83	551
132	84	547
133	84	544
134	84	540
135	84	536
136	84	533
137	84	530
138	85	526
139	85	523
140	85	520
141	85	517
142	85	514
143	86	512
144	86	509
145	86	507
146	87	505
147	87	502
148	87	500
149	87	498
150	88	495
151	88	492
152	88	490
153	88	487
154	88	484
155	89	482
156	89	479
157	89	476
158	89	474
159	89	472
160	90	469
161	90	466
162	90	464
163	90	461
164	90	459
165	91	457
166	91	454
167	91	452
168	91	450
169	91	447
170	91	445
171	92	443
172	92	441
173	92	439
174	92	437
175	92	435
176	93	433
177	93	431
178	93	429
179	93	427
180	93	424
181	94	422
182	94	420
183	94	419
184	94	417
185	94	415
186	95	413
187	95	411
188	95	409
189	95	407
190	95	406
191	96	404
192	96	402
193	96	401
194	96	399
195	96	397
196	97	396
197	97	394
198	97	392
199	97	391
200	97	389
201	98	387
202	98	386
203	98	386
204	99	385
205	99	383
206	99	381
207	99	380
208	100	378
209	100	377
210	100	375
211	100	374
212	100	373
213	101	371
214	101	370
215	101	368
216	101	367
217	101	365
218	102	364
219	102	362
220	102	361
221	102	359
222	102	358
223	103	356
224	103	355
225	103	354
226	103	352
227	103	351
228	103	349
229	104	348
230	104	347
231	104	346
232	104	344
233	104	343
234	105	342
235	105	341
236	105	339
237	105	338
238	105	337
239	106	335
240	106	334
241	106	333
242	106	332
243	106	331
244	107	329
245	107	328
246	107	327
247	107	326
248	107	325
249	107	323
250	108	322
251	108	321
252	108	320
253	108	319
254	108	318
255	109	317
256	109	316
257	109	315
258	109	314
